Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
ORANGE,SURPRISED,response_markdown,5f3164c6d0db5b0fb04f97c3,576.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
BLUE,DEPRESSED,response_markdown,5f3164c6d0db5b0fb04f97c3,238.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
RED,ANGRY,response_markdown,5f3164c6d0db5b0fb04f97c3,1470.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
RED,STRESSED,response_markdown,5f3164c6d0db5b0fb04f97c3,979.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
YELLOW,HAPPY,response_markdown,5f3164c6d0db5b0fb04f97c3,180.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
BLUE,FRUSTRATED,response_markdown,5f3164c6d0db5b0fb04f97c3,1656.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
RED,EXCITED,response_markdown,5f3164c6d0db5b0fb04f97c3,479.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
BLUE,SAD,response_markdown,5f3164c6d0db5b0fb04f97c3,1056.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
RED,DISGUSTED,response_markdown,5f3164c6d0db5b0fb04f97c3,2684.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
RED,AFRAID,response_markdown,5f3164c6d0db5b0fb04f97c3,2421.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
RED,ALARMED,response_markdown,5f3164c6d0db5b0fb04f97c3,356.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
PURPLE,SATISFIED,response_markdown,5f3164c6d0db5b0fb04f97c3,4549.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
PURPLE,SERENE,response_markdown,5f3164c6d0db5b0fb04f97c3,121.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
PURPLE,SLEEPY,response_markdown,5f3164c6d0db5b0fb04f97c3,1275.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
ORANGE,TIRED,response_markdown,5f31658cc1451163317790c4,902.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
PURPLE,DEPRESSED,response_markdown,5f31658cc1451163317790c4,1584.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
ORANGE,FRUSTRATED,response_markdown,5f31658cc1451163317790c4,422.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
GREEN,SLEEPY,response_markdown,5f31658cc1451163317790c4,2294.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
YELLOW,ASTONISHED,response_markdown,5f31658cc1451163317790c4,3854.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
BLUE,HAPPY,response_markdown,5f31658cc1451163317790c4,2607.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
BLUE,CALM,response_markdown,5f31658cc1451163317790c4,363.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
RED,ALARMED,response_markdown,5f31658cc1451163317790c4,512.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
ORANGE,EXCITED,response_markdown,5f31658cc1451163317790c4,1120.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
ORANGE,SURPRISED,response_markdown,5f31658cc1451163317790c4,790.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
BLUE,SATISFIED,response_markdown,5f31658cc1451163317790c4,184.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
RED,STRESSED,response_markdown,5f31658cc1451163317790c4,731.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
ORANGE,SAD,response_markdown,5f31658cc1451163317790c4,743.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
