Unnamed: 0,x,y
surprised,3.4905723034330562,2.2619200360425076
excited,4.958500476809961,0.207434478872276
serene,4.691272666577789,-1.4571365150365216
happy,5.127138987830854,-0.2668858152029629
satisfied,4.966961853647638,-0.7415867846891511
calm,2.71676678109477,-2.5223364118041736
tired,-2.3175619537027186,-2.378638710010243
bored,-2.98259397349243,-2.161231526439726
depressed,-3.8300669976675015,-1.2203957334106548
sad,-3.3150163966525,-0.5644685460705084
frustrated,-4.034389809168281,0.02395122020752283
afraid,-1.6229224338748764,3.3179988506815716
angry,-3.1087629070341447,1.4624388900389063
stressed,-3.295911854371651,0.6505477610227857
astonished,3.3983149154407015,2.029274114186915
sleepy,-1.1731198356372872,-3.058148414552743
alarmed,-1.3344052222290246,3.3125328776722935
disgusted,-2.334776601004358,1.1047302284919043
