,coefficient,p-value
osgoodspace,0.39999999999999997,0.13959512937214466
fasttext,0.08214285714285713,0.7710285652881772
fasttext2d,0.18214285714285713,0.5158816817070392
controlspace,0.2321428571428571,0.40509874069364893
