,coefficient,p-value
osgoodspace,0.2773452937269766,0.0036613644795636265
fasttext,-0.08152574947455336,0.4015931996093941
fasttext2d,0.18585289589977336,0.054131994824661654
controlspace,0.12832836531186512,0.1856395747624293
