,coefficient,p-value
osgoodspace,0.4745486711430984,5.75627838156939e-10
fasttext,0.46004382614289724,2.195948797177037e-09
fasttext2d,0.07637409030597883,0.3480802822824923
controlspace,0.03386474206907643,0.677726311044087
