,index,Valence,Arousal,z_valence,z_arousal,Condition,fill_color
0,green,0.1304656714391039,-0.19889718792745245,1.9255136668116208,-0.26679586493057855,Color,green
1,orange,-0.012249676642947481,-0.1251872418001198,0.01912650549367748,1.6298409953371773,Color,orange
2,yellow,-0.10874810040324821,-0.16956083957579207,-1.2698964245298654,0.4880601966014226,Color,yellow
3,blue,0.013443304362349057,-0.23246682275822253,0.3623325431254715,-1.1305789790272716,Color,blue
4,purple,-0.05788444412730055,-0.236146555032001,-0.5904612929530791,-1.2252624814993642,Color,purple
5,red,-0.047115868636162704,-0.16891275430573402,-0.44661499794782517,0.50473613351861,Color,red
6,surprised,0.07985018207576021,-0.05701025626149532,0.5491085325919746,0.5091952382130541,Emotion,#e64200
7,excited,0.26036064600175446,0.2623309025648462,1.17526252722048,1.7580069175870172,Emotion,#ab4600
8,serene,0.36534432965261343,-0.36220208985236896,1.5394295204190078,-0.6842842607609438,Emotion,#007065
9,happy,0.23538007723461918,-0.27341795885801196,1.088610027518044,-0.33708611024281787,Emotion,#004c76
10,satisfied,0.32528764753441325,0.10377255188427152,1.4004810574082525,1.1379505461505615,Emotion,#566200
11,calm,0.3393050829117139,0.027426371674105623,1.4491046826820881,0.8393920957696266,Emotion,#4e6700
12,tired,-0.3950703331998965,-0.6078263008947481,-1.0982939021654794,-1.6448193343295323,Emotion,#6100b3
13,bored,-0.30510127835760625,-0.6175877162378872,-0.7862095949335889,-1.6829922072925234,Emotion,#7f00e3
14,depressed,-0.3629425324675477,-0.2660549001632673,-0.9868491120427508,-0.3082922218267199,Emotion,#ff7f00
15,sad,-0.3085889793246922,-0.6091059765196183,-0.7983077184723213,-1.649823618374913,Emotion,#7f00e3
16,frustrated,-0.29049575029682695,-0.1944678636437592,-0.7355459960484567,-0.028344821291521743,Emotion,#ff7f00
17,afraid,-0.18761526669571646,-0.11050244405294796,-0.37867457499577856,0.3000093346021817,Emotion,#ff7f00
18,angry,-0.38707255719716105,-0.0924384792237325,-1.0705512478985784,0.37065005732465456,Emotion,#ff7f00
19,stressed,0.12130547315864598,0.06856996668648334,0.692908484935338,1.0002877415790368,Emotion,#e65900
20,astonished,0.0431487763768025,-0.04734275307515616,0.4217988393638557,0.5470008594297373,Emotion,#ed4700
21,sleepy,-0.2419320117638201,-0.40970120245315833,-0.5670882888597846,-0.8700337169029932,Emotion,#7f00ff
22,alarmed,-0.18607584521997253,0.10194438093809918,-0.3733346357729247,1.130801322925272,Emotion,#ff7f00
23,disgusted,-0.5171745692686566,-0.286339727476219,-1.5218486009493772,-0.3876178225591754,Emotion,#b27f33
