Response,Attempt,emotion terms,emotion terms2,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
1.0,1.0,SERENE,ANGRY,response_keyboard,5f3165a9c848c665344000fc,418.62000012770295,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,TIRED,SATISFIED,response_keyboard,5f3165a9c848c665344000fc,357.78999980539083,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
2.0,1.0,SERENE,ASTONISHED,response_keyboard,5f3165a9c848c665344000fc,1571.2150000035765,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
5.0,1.0,DISGUSTED,ALARMED,response_keyboard,5f3165a9c848c665344000fc,1115.9549998119471,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
2.0,1.0,AFRAID,SURPRISED,response_keyboard,5f3165a9c848c665344000fc,379.8299999907613,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
4.0,1.0,TIRED,ANGRY,response_keyboard,5f3165a9c848c665344000fc,407.82999992370605,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
5.0,1.0,AFRAID,STRESSED,response_keyboard,5f3165a9c848c665344000fc,1394.855000078678,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,ALARMED,CALM,response_keyboard,5f3165a9c848c665344000fc,467.53500029444695,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,ANGRY,HAPPY,response_keyboard,5f3165a9c848c665344000fc,396.9350000843406,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
7.0,1.0,EXCITED,HAPPY,response_keyboard_single,5f3165a9c848c665344000fc,344.59999995306134,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
7.0,1.0,HAPPY,SATISFIED,response_keyboard_single,5f3165a9c848c665344000fc,344.2299999296665,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,CALM,ASTONISHED,response_keyboard,5f3165a9c848c665344000fc,292.7950001321733,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
7.0,1.0,SERENE,HAPPY,response_keyboard_single,5f3165a9c848c665344000fc,395.9749997593463,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,HAPPY,AFRAID,response_keyboard,5f3165a9c848c665344000fc,447.4499998614192,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
5.0,1.0,STRESSED,FRUSTRATED,response_keyboard,5f3165a9c848c665344000fc,660.2000002749264,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
2.0,1.0,DISGUSTED,FRUSTRATED,response_keyboard,5f3165a9c848c665344000fc,417.0949999243021,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,SERENE,SURPRISED,response_keyboard,5f3165a9c848c665344000fc,358.19000005722046,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,ANGRY,CALM,response_keyboard,5f3165a9c848c665344000fc,327.0899998024106,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,BORED,DISGUSTED,response_keyboard,5f3165a9c848c665344000fc,372.805000282824,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
5.0,1.0,BORED,TIRED,response_keyboard,5f3165a9c848c665344000fc,361.6150002926588,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,STRESSED,ASTONISHED,response_keyboard,5f3165a9c848c665344000fc,371.3549999520183,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
4.0,1.0,SLEEPY,FRUSTRATED,response_keyboard,5f3165a9c848c665344000fc,597.1499998122454,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,DEPRESSED,EXCITED,response_keyboard,5f3165a9c848c665344000fc,348.90499990433455,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,ALARMED,BORED,response_keyboard,5f3165a9c848c665344000fc,432.4400001205504,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
4.0,1.0,SAD,TIRED,response_keyboard,5f3165a9c848c665344000fc,584.4649998471141,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,AFRAID,BORED,response_keyboard,5f3165a9c848c665344000fc,425.0950003042817,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,DEPRESSED,BORED,response_keyboard,5f3165a9c848c665344000fc,226.25999990850687,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,ASTONISHED,SAD,response_keyboard,5f3165a9c848c665344000fc,1131.624999921769,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,FRUSTRATED,DEPRESSED,response_keyboard,5f3165a9c848c665344000fc,957.995000295341,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
4.0,1.0,DEPRESSED,TIRED,response_keyboard,5f3165a9c848c665344000fc,357.53999976441264,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,SURPRISED,TIRED,response_keyboard,5f3165a9c848c665344000fc,379.3399999849498,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
2.0,1.0,ALARMED,SAD,response_keyboard,5f3165a9c848c665344000fc,414.8900001309812,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
4.0,1.0,FRUSTRATED,ANGRY,response_keyboard,5f3165a9c848c665344000fc,485.28499994426966,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,DEPRESSED,ANGRY,response_keyboard,5f3165a9c848c665344000fc,466.98000002652407,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
6.0,1.0,STRESSED,TIRED,response_keyboard,5f3165a9c848c665344000fc,164.09499989822507,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,DISGUSTED,AFRAID,response_keyboard,5f3165a9c848c665344000fc,347.7449999190867,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
2.0,1.0,SLEEPY,ANGRY,response_keyboard,5f3165a9c848c665344000fc,1529.7749997116623,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,ASTONISHED,DEPRESSED,response_keyboard,5f3165a9c848c665344000fc,352.04000025987625,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,FRUSTRATED,SERENE,response_keyboard,5f3165a9c848c665344000fc,404.2349997907877,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,ASTONISHED,HAPPY,response_keyboard,5f3165a9c848c665344000fc,1013.7400003150104,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,FRUSTRATED,ASTONISHED,response_keyboard,5f3165a9c848c665344000fc,382.0000002160669,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
4.0,1.0,SAD,SURPRISED,response_keyboard,5f3165a9c848c665344000fc,590.7600000500679,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,BORED,SAD,response_keyboard,5f3165a9c848c665344000fc,649.280000012368,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,DEPRESSED,SURPRISED,response_keyboard,5f3165a9c848c665344000fc,558.35000006482,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,EXCITED,STRESSED,response_keyboard,5f3165a9c848c665344000fc,339.3000001087785,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
5.0,1.0,DISGUSTED,ASTONISHED,response_keyboard,5f3165a9c848c665344000fc,301.3500003144145,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,BORED,SERENE,response_keyboard,5f3165a9c848c665344000fc,321.6949999332428,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,STRESSED,SATISFIED,response_keyboard,5f3165a9c848c665344000fc,428.9649999700487,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,EXCITED,SATISFIED,response_keyboard,5f3165a9c848c665344000fc,46.27000028267503,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
6.0,1.0,TIRED,CALM,response_keyboard,5f3165a9c848c665344000fc,338.7000001966953,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
1.0,1.0,SAD,SERENE,response_keyboard,5f3165a9c848c665344000fc,372.8800001554191,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
5.0,1.0,STRESSED,DEPRESSED,response_keyboard,5f3165a9c848c665344000fc,408.5699999704957,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
6.0,1.0,SLEEPY,SATISFIED,response_keyboard,5f3165a9c848c665344000fc,436.5449999459088,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
3.0,1.0,AFRAID,ANGRY,response_keyboard,5f3165a9c848c665344000fc,517.9100004024804,2_2_ Emotion Testing Phase_ENGLISH,1835572.0
