,sorpreso,entusiasta,sereno,allegro,soddisfatto,calmo,stanco,annoiato,depresso,triste,frustrato,spaventato,arrabbiato,stressato,stupito,assonnato,allarmato,disgustato
sorpreso,0.0,1.5686911080794028,2.8743466698974984,0.4256675964437764,1.8549696544903,2.0413570562070302,0.572606359167947,0.5477396761433578,0.6738896426010172,1.4861714567245428,1.0507809598202353,1.2851410459462427,1.163692076681265,0.24479885785011962,0.8085580002063003,2.230857481514153,1.2657539177658357,1.495775833553752
entusiasta,1.5686911080794028,0.0,3.8045075837187667,1.885259270539052,0.9623844939866587,3.5094211317847277,2.135420093702622,1.0463690773655243,0.9627718541103789,2.7533582314841336,0.8021614544832795,0.4195173880342015,0.40500001191038754,1.354027545762413,2.0554598354320475,0.6768421773971609,0.675399120955965,0.08778437055692008
sereno,2.8743466698974984,3.8045075837187667,0.0,3.0615212472974407,3.235018398522725,3.6051891812660073,2.5962479010140713,3.2456814813864674,3.380911607216169,1.477445884039588,3.760073794095308,3.385238128809879,3.520663736869241,2.876578359938486,2.0661122521694475,4.408189063921046,3.137599633480634,3.7847224655857112
allegro,0.4256675964437764,1.885259270539052,3.0615212472974407,0.0,2.2677339452845735,1.6464240803515087,0.49000036193939317,0.840485028163976,0.9279892840369905,1.603756641471054,1.2345453163603606,1.6538926626253962,1.4874656198243832,0.660632160801495,1.0397987052611413,2.5194608262114424,1.667683911803347,1.8050585714769893
soddisfatto,1.8549696544903,0.9623844939866587,3.2350183985227248,2.2677339452845735,0.0,3.8940898112495477,2.318590051571274,1.521652463556101,1.5253580571814669,2.5217131858482973,1.5901355934168309,0.7600133801329085,1.050074738422329,1.611137497453391,1.9540068374842525,1.2973953364107658,0.6143760489402489,1.0140369639436666
calmo,2.0413570562070302,3.5094211317847277,3.6051891812660073,1.6464240803515098,3.8940898112495477,0.0,1.620765528659506,2.477971032576022,2.547247817798126,2.2779328027192833,2.781050104130839,3.30002286227049,3.1212703492637663,2.2861313776676613,2.2139707024245645,4.110577107108444,3.3062923805783013,3.425768071000401
stanco,0.572606359167947,2.135420093702622,2.596247901014071,0.49000036193939317,2.3185900515712743,1.6207655286595049,0.0,1.1194401768954183,1.2414921385420399,1.125652245633018,1.6051301228972243,1.8284203930784049,1.7308781187784057,0.7837926064014782,0.665752528593543,2.801514168731888,1.7683393487413692,2.064579493081541
annoiato,0.5477396761433562,1.0463690773655243,3.2456814813864674,0.840485028163975,1.521652463556101,2.4779710325760216,1.1194401768954174,0.0,0.1398519956209224,1.9509754521073477,0.5332705637466773,0.8330371361934963,0.6469807935904396,0.39579589503638424,1.2349364158096177,1.6939172696645814,0.9075647570348226,0.967912780243411
depresso,0.6738896426010172,0.9627718541103789,3.380911607216169,0.9279892840369905,1.5253580571814669,2.547247817798126,1.2414921385420399,0.1398519956209224,0.0,2.090799888053444,0.3934754749717603,0.8020633170079654,0.5778594340952751,0.535288272422859,1.3747479726894412,1.5921688708069448,0.9178052851765757,0.8803165914135258
triste,1.4861714567245428,2.7533582314841336,1.477445884039588,1.603756641471054,2.5217131858482977,2.2779328027192833,1.125652245633018,1.9509754521073481,2.090799888053444,0.0,2.4842427450616955,2.354380775219806,2.3918423825235156,1.556160682515999,0.7195781574732835,3.420834463677789,2.1713659750543437,2.707691938520924
frustrato,1.0507809598202353,0.8021614544832795,3.760073794095308,1.2345453163603606,1.5901355934168309,2.781050104130839,1.6051301228972243,0.5332705637466773,0.3934754749717603,2.4842427450616955,0.0,0.8306360777471076,0.5402340392537697,0.9286719828142683,1.767743730451088,1.3323669117405914,1.0397279382420457,0.7146721540421669
spaventato,1.2851410459462436,0.4195173880342015,3.385238128809879,1.6538926626253967,0.7600133801329085,3.3000228622704895,1.8284203930784053,0.8330371361934963,0.8020633170079654,2.3543807752198056,0.8306360777471076,0.0,0.2919545651153554,1.0492860742607844,1.67001989680772,1.0672328377212672,0.2725350109401656,0.4049475135708888
arrabbiato,1.163692076681265,0.40500001191038754,3.520663736869241,1.4874656198243832,1.050074738422329,3.1212703492637663,1.7308781187784057,0.6469807935904396,0.5778594340952751,2.3918423825235156,0.5402340392537697,0.2919545651153554,0.0,0.9508218884170532,1.682414432784081,1.0740936522071818,0.5290741482783701,0.3348525079644585
stressato,0.24479885785011962,1.354027545762413,2.876578359938486,0.660632160801495,1.611137497453391,2.2861313776676613,0.7837926064014782,0.395795895036382,0.535288272422859,1.556160682515999,0.9286719828142683,1.0492860742607844,0.9508218884170532,0.0,0.8425782923578047,2.024458721249923,1.0210989350335753,1.2855553414312717
stupito,0.8085580002063003,2.0554598354320475,2.0661122521694466,1.0397987052611413,1.954006837484253,2.2139707024245645,0.665752528593543,1.2349364158096183,1.3747479726894412,0.7195781574732835,1.767743730451088,1.6700198968077196,1.682414432784081,0.8425782923578047,0.0,2.729103107635802,1.5164149674732612,2.004672431281626
assonnato,2.230857481514153,0.6768421773971609,4.408189063921046,2.519460826211442,1.2973953364107658,4.110577107108444,2.8015141687318876,1.6939172696645812,1.5921688708069446,3.420834463677789,1.3323669117405916,1.0672328377212668,1.0740936522071822,2.024458721249923,2.729103107635802,0.0,1.2810133972221067,0.7392736166859001
allarmato,1.2657539177658357,0.675399120955965,3.137599633480634,1.667683911803347,0.6143760489402489,3.3062923805783013,1.7683393487413692,0.9075647570348226,0.9178052851765757,2.1713659750543437,1.0397279382420457,0.2725350109401656,0.5290741482783701,1.0210989350335753,1.5164149674732612,1.281013397222107,0.0,0.6728102723615526
disgustato,1.4957758335537523,0.08778437055692008,3.7847224655857112,1.8050585714769896,1.0140369639436662,3.425768071000401,2.0645794930815415,0.9679127802434114,0.8803165914135263,2.707691938520924,0.7146721540421676,0.4049475135708899,0.3348525079644598,1.285555341431272,2.0046724312816266,0.7392736166859001,0.6728102723615532,0.0
