,verde,arancione,giallo,blu,viola,rosso
verde,0.0,2.9976314811889724,1.7716123747504813,2.617530786394178,2.052236294240203,1.4187068860279262
arancione,2.9976314811889724,0.0,2.2061349394989773,4.575447581107089,2.86550016722011,2.675159626046132
giallo,1.7716123747504813,2.2061349394989773,0.0,2.375707812590927,0.6949178621543503,0.5703503766517238
blu,2.617530786394178,4.575447581107089,2.375707812590927,0.0,1.785594930843323,1.9201954584846932
viola,2.052236294240203,2.86550016722011,0.6949178621543503,1.7855949308433219,0.0,0.6395710278427293
rosso,1.4187068860279262,2.675159626046132,0.5703503766517238,1.920195458484694,0.6395710278427293,0.0
