,verde,arancione,giallo,blu,viola,rosso
verde,0.0,0.3286824054369273,0.3827171799248401,0.3147877920941573,0.5221681457904245,0.34345196652134113
arancione,0.3286824054369273,0.0,0.31094037600911906,0.2166552102491639,0.406525601127701,0.2647886503170296
giallo,0.3827171799248401,0.31094037600911906,0.0,0.31467091058143803,0.4959608148989869,0.2311454724326506
blu,0.3147877920941573,0.2166552102491639,0.31467091058143803,0.0,0.43218098459895926,0.23734795915894646
viola,0.5221681457904245,0.406525601127701,0.4959608148989869,0.43218098459895926,0.0,0.45402928214674243
rosso,0.34345196652134113,0.2647886503170296,0.2311454724326506,0.23734795915894646,0.45402928214674243,0.0
