Response,color terms,color terms2,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
2.0,ORANGE,GREEN,response_keyboard,5f9eb5ae95cf6346959e6500,2874.87499999952,1_2_ Color Testing Phase_ITALIAN,2215616.0
3.0,BLUE,ORANGE,response_keyboard,5f9eb5ae95cf6346959e6500,808.8850000003731,1_2_ Color Testing Phase_ITALIAN,2215616.0
5.0,PURPLE,RED,response_keyboard,5f9eb5ae95cf6346959e6500,1665.1050000000394,1_2_ Color Testing Phase_ITALIAN,2215616.0
4.0,ORANGE,PURPLE,response_keyboard,5f9eb5ae95cf6346959e6500,2463.864999999714,1_2_ Color Testing Phase_ITALIAN,2215616.0
3.0,YELLOW,GREEN,response_keyboard,5f9eb5ae95cf6346959e6500,346.04000000035734,1_2_ Color Testing Phase_ITALIAN,2215616.0
6.0,RED,PURPLE,response_keyboard,5f9eb5ae95cf6346959e6500,474.0599999995538,1_2_ Color Testing Phase_ITALIAN,2215616.0
2.0,PURPLE,YELLOW,response_keyboard,5f9eb5ae95cf6346959e6500,320.35999999970954,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,GREEN,ORANGE,response_keyboard,5f9eb5ae95cf6346959e6500,468.1099999997969,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,BLUE,YELLOW,response_keyboard,5f9eb5ae95cf6346959e6500,451.90000000002334,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,BLUE,GREEN,response_keyboard,5f9eb5ae95cf6346959e6500,554.840000000695,1_2_ Color Testing Phase_ITALIAN,2215616.0
6.0,ORANGE,YELLOW,response_keyboard,5f9eb5ae95cf6346959e6500,4152.310000001306,1_2_ Color Testing Phase_ITALIAN,2215616.0
5.0,RED,YELLOW,response_keyboard,5f9eb5ae95cf6346959e6500,348.2050000002346,1_2_ Color Testing Phase_ITALIAN,2215616.0
6.0,PURPLE,BLUE,response_keyboard,5f9eb5ae95cf6346959e6500,550.3900000003341,1_2_ Color Testing Phase_ITALIAN,2215616.0
3.0,PURPLE,GREEN,response_keyboard,5f9eb5ae95cf6346959e6500,499.1150000005291,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,RED,BLUE,response_keyboard,5f9eb5ae95cf6346959e6500,328.6850000004051,1_2_ Color Testing Phase_ITALIAN,2215616.0
3.0,GREEN,PURPLE,response_keyboard,5f9eb5ae95cf6346959e6500,378.1299999991461,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,BLUE,RED,response_keyboard,5f9eb5ae95cf6346959e6500,322.9900000005728,1_2_ Color Testing Phase_ITALIAN,2215616.0
2.0,PURPLE,ORANGE,response_keyboard,5f9eb5ae95cf6346959e6500,7385.239999999611,1_2_ Color Testing Phase_ITALIAN,2215616.0
4.0,ORANGE,BLUE,response_keyboard,5f9eb5ae95cf6346959e6500,1.6700000014679972,1_2_ Color Testing Phase_ITALIAN,2215616.0
5.0,YELLOW,RED,response_keyboard,5f9eb5ae95cf6346959e6500,337.8599999996368,1_2_ Color Testing Phase_ITALIAN,2215616.0
7.0,YELLOW,ORANGE,response_keyboard_single,5f9eb5ae95cf6346959e6500,299.7949999989942,1_2_ Color Testing Phase_ITALIAN,2215616.0
7.0,RED,ORANGE,response_keyboard_single,5f9eb5ae95cf6346959e6500,332.8499999988708,1_2_ Color Testing Phase_ITALIAN,2215616.0
3.0,GREEN,RED,response_keyboard,5f9eb5ae95cf6346959e6500,321.52500000118744,1_2_ Color Testing Phase_ITALIAN,2215616.0
2.0,YELLOW,PURPLE,response_keyboard,5f9eb5ae95cf6346959e6500,317.2900000008812,1_2_ Color Testing Phase_ITALIAN,2215616.0
7.0,ORANGE,RED,response_keyboard_single,5f9eb5ae95cf6346959e6500,382.4700000004668,1_2_ Color Testing Phase_ITALIAN,2215616.0
2.0,GREEN,YELLOW,response_keyboard,5f9eb5ae95cf6346959e6500,449.479999999312,1_2_ Color Testing Phase_ITALIAN,2215616.0
2.0,RED,GREEN,response_keyboard,5f9eb5ae95cf6346959e6500,329.6050000008254,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,YELLOW,BLUE,response_keyboard,5f9eb5ae95cf6346959e6500,330.56000000034686,1_2_ Color Testing Phase_ITALIAN,2215616.0
3.0,BLUE,PURPLE,response_keyboard,5f9eb5ae95cf6346959e6500,1147.8499999993946,1_2_ Color Testing Phase_ITALIAN,2215616.0
4.0,GREEN,BLUE,response_keyboard,5f9eb5ae95cf6346959e6500,1955.7299999996605,1_2_ Color Testing Phase_ITALIAN,2215616.0
1.0,ORANGE,GREEN,response_keyboard,5f9eb578ae6f0845af58c930,1898.8950001075864,1_2_ Color Testing Phase_ITALIAN,2215604.0
1.0,GREEN,RED,response_keyboard,5f9eb578ae6f0845af58c930,773.0500001925975,1_2_ Color Testing Phase_ITALIAN,2215604.0
2.0,PURPLE,GREEN,response_keyboard,5f9eb578ae6f0845af58c930,2039.524999912828,1_2_ Color Testing Phase_ITALIAN,2215604.0
2.0,BLUE,GREEN,response_keyboard,5f9eb578ae6f0845af58c930,1074.565000133589,1_2_ Color Testing Phase_ITALIAN,2215604.0
4.0,PURPLE,RED,response_keyboard,5f9eb578ae6f0845af58c930,379.2899998370558,1_2_ Color Testing Phase_ITALIAN,2215604.0
6.0,RED,ORANGE,response_keyboard,5f9eb578ae6f0845af58c930,545.5350000411272,1_2_ Color Testing Phase_ITALIAN,2215604.0
1.0,PURPLE,YELLOW,response_keyboard,5f9eb578ae6f0845af58c930,427.0699999760837,1_2_ Color Testing Phase_ITALIAN,2215604.0
4.0,YELLOW,RED,response_keyboard,5f9eb578ae6f0845af58c930,266.4350001141429,1_2_ Color Testing Phase_ITALIAN,2215604.0
1.0,GREEN,BLUE,response_keyboard,5f9eb578ae6f0845af58c930,379.54000011086464,1_2_ Color Testing Phase_ITALIAN,2215604.0
3.0,PURPLE,ORANGE,response_keyboard,5f9eb578ae6f0845af58c930,801.0499998927116,1_2_ Color Testing Phase_ITALIAN,2215604.0
2.0,RED,BLUE,response_keyboard,5f9eb578ae6f0845af58c930,4932.430000044406,1_2_ Color Testing Phase_ITALIAN,2215604.0
1.0,GREEN,YELLOW,response_keyboard,5f9eb578ae6f0845af58c930,337.7700001001358,1_2_ Color Testing Phase_ITALIAN,2215604.0
1.0,BLUE,ORANGE,response_keyboard,5f9eb578ae6f0845af58c930,304.49500004760915,1_2_ Color Testing Phase_ITALIAN,2215604.0
