,verde,arancione,giallo,blu,viola,rosso
verde,0.0,0.06176086040368506,0.033724357361641366,0.1867786176708769,0.14433017532021578,0.03706568822050369
arancione,0.06176086040368506,0.0,0.06914771939751026,0.18822954218405197,0.09987308684279575,0.06645245708258776
giallo,0.03372435736164136,0.06914771939751026,0.0,0.15326520776928146,0.12694357554980581,0.005639981350155003
blu,0.1867786176708769,0.18822954218405197,0.15326520776928146,0.0,0.13822164861670175,0.14973012796574206
viola,0.14433017532021578,0.09987308684279575,0.12694357554980581,0.13822164861670175,0.0,0.12135887714027858
rosso,0.037065688220503684,0.06645245708258776,0.005639981350155003,0.14973012796574206,0.12135887714027858,0.0
