,coefficient,p-value
osgoodspace,0.24895949985433166,0.009371338655981755
fasttext,-0.1631708251871979,0.09154230699279459
fasttext2d,0.028565905230959098,0.769162077606781
controlspace,0.09228506035481793,0.34215096994291827
