,coefficient,p-value
osgoodspace,0.45234744615549566,4.3581848949790495e-09
fasttext,0.5207437041802366,5.198588851306492e-12
fasttext2d,0.11161593824132522,0.1695699924999201
controlspace,0.12221730797582188,0.132325392333149
