,coefficient,p-value
osgoodspace,0.20357142857142854,0.46679507248911234
fasttext,-0.014285714285714282,0.9596997645989476
fasttext2d,0.1714285714285714,0.5412721760996331
controlspace,0.35357142857142854,0.19607167843419876
