Unnamed: 0,green,orange,yellow,blue,purple,red
surprised,0.7428571428571429,0.8285714285714286,0.8,0.8857142857142858,0.942857142857143,0.8
excited,0.8857142857142858,0.8571428571428572,0.6857142857142857,0.8857142857142858,0.942857142857143,0.7428571428571429
serene,0.7142857142857143,0.9714285714285715,0.7428571428571429,0.6285714285714286,1.0,0.942857142857143
happy,0.7714285714285715,0.8857142857142858,0.6857142857142857,0.8571428571428572,0.9714285714285715,0.8285714285714286
satisfied,0.6571428571428573,0.8285714285714286,0.7714285714285715,0.8571428571428572,0.9714285714285715,0.9142857142857143
calm,0.6571428571428573,0.9714285714285715,0.9142857142857143,0.4571428571428572,1.0,1.0
tired,0.8571428571428572,1.0,0.9142857142857143,0.6571428571428573,0.6857142857142857,0.8857142857142858
bored,0.9714285714285715,0.8571428571428572,0.8285714285714286,0.7428571428571429,0.6285714285714286,0.9714285714285715
depressed,0.942857142857143,0.942857142857143,0.8285714285714286,0.7142857142857143,0.6285714285714286,0.942857142857143
sad,0.9714285714285715,0.8,0.8857142857142858,0.6857142857142857,0.6571428571428573,1.0
frustrated,0.8857142857142858,0.7714285714285715,1.0,0.8571428571428572,0.6571428571428573,0.8285714285714286
afraid,0.9142857142857143,0.8571428571428572,0.8857142857142858,1.0,0.6857142857142857,0.6571428571428573
angry,0.8285714285714286,0.942857142857143,0.9714285714285715,1.0,0.9142857142857143,0.34285714285714286
stressed,0.8857142857142858,0.8285714285714286,0.9714285714285715,0.9714285714285715,0.6285714285714286,0.7142857142857143
astonished,0.8285714285714286,0.7714285714285715,0.8,0.8285714285714286,0.9142857142857143,0.8571428571428572
sleepy,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.6571428571428573,0.7428571428571429,0.942857142857143
alarmed,1.0,0.8571428571428572,0.8857142857142858,1.0,0.8285714285714286,0.4285714285714286
disgusted,0.8857142857142858,0.9142857142857143,0.8285714285714286,0.942857142857143,0.5428571428571429,0.8857142857142858
