,coefficient,p-value
osgoodspace,0.2964285714285714,0.28335542843426287
fasttext,0.028571428571428564,0.9194899083821857
fasttext2d,-0.1607142857142857,0.5671967045803448
controlspace,0.3428571428571428,0.21092379341475206
