,coefficient,p-value
osgoodspace,0.26455040572926686,0.005661427290912129
fasttext,-0.04257110968765742,0.6617760531312837
fasttext2d,-0.047661653709647464,0.624254628462958
controlspace,-0.02825634679875306,0.7715947003911343
