,coefficient,p-value
osgoodspace,0.48405773792770695,2.3116497595426447e-10
fasttext,0.4824929971988795,2.691279098978265e-10
fasttext2d,-0.06765577044214814,0.4060044692855337
controlspace,0.03371396405452133,0.6790817690966873
