Unnamed: 0,x,y
surprised,2.5631095681013307,-3.2403529585631246
excited,4.629278791830441,-0.5162996103244474
serene,4.195396096268353,2.3885377128013774
happy,4.804434495091601,0.5824135641367859
satisfied,4.6162782501903195,0.9063646187811895
calm,2.433630997766682,3.3071385738722925
tired,-2.2736472476751426,2.66035948211038
bored,-1.9749537067468141,2.958393251775298
depressed,-3.629568760115793,1.4005694430665725
sad,-3.363563384835206,0.47810256290379655
frustrated,-3.906591380153624,-0.3481537491115637
afraid,-0.709713821575065,-3.407749817128482
angry,-2.68365978039031,-1.5653599396876632
stressed,-3.2880534367106926,-0.6926976933347487
astonished,2.2805114377757874,-3.292325914497795
sleepy,-1.1404288563130376,3.6737328653562877
alarmed,-0.6832254772638291,-3.5627975748782155
disgusted,-1.8692337852450023,-1.7298748172779435
