,green,orange,yellow,blue,purple,red
green,0.0,0.2742604221699908,0.19157383148845786,0.19632962709147295,0.22355555370798874,0.20429680231113345
orange,0.2742604221699908,0.0,0.19138513422121917,0.2527685611616075,0.22774023030412138,0.2544554679286477
yellow,0.19157383148845786,0.19138513422121917,0.0,0.1615489965539758,0.17682933601887552,0.14294637460374382
blue,0.19632962709147295,0.2527685611616075,0.1615489965539758,0.0,0.18368472312451634,0.11669865691587
purple,0.22355555370798874,0.22774023030412138,0.17682933601887552,0.18368472312451634,0.0,0.20903186015707886
red,0.20429680231113345,0.2544554679286477,0.14294637460374382,0.11669865691587,0.20903186015707886,0.0
