,green,orange,yellow,blue,purple,red
green,0.0,0.08231354056564442,0.11406694443251597,0.07245986158482595,0.017676858573348136,0.09941272054031682
orange,0.08231354056564451,0.0,0.13951000510150552,0.14512640053261472,0.09556075378691822,0.044077194902871854
yellow,0.11406694443251597,0.13951000510150546,0.0,0.17107984003911683,0.10248098166431792,0.11233391603948592
blue,0.07245986158482595,0.14512640053261466,0.17107984003911683,0.0,0.0734207941941448,0.17047532286358802
purple,0.017676858573348136,0.09556075378691815,0.10248098166431792,0.0734207941941448,0.0,0.10639546810012974
red,0.09941272054031682,0.044077194902871854,0.11233391603948592,0.17047532286358802,0.10639546810012974,0.0
