,green,orange,yellow,blue,purple,red
green,0.0,0.8633524410589986,0.6089754076414549,0.6493673476907424,1.2004286140644491,0.5680738435272549
orange,0.8633524410589986,0.0,0.7417056442833817,0.24106414039614993,0.3371307025326752,0.5063697396852787
yellow,0.6089754076414549,0.7417056442833817,0.0,0.522377267461139,1.015927982878489,0.8442247034132802
blue,0.6493673476907424,0.24106414039614993,0.522377267461139,0.0,0.5676283569310605,0.44926897453009274
purple,1.2004286140644491,0.3371307025326752,1.015927982878489,0.5676283569310605,0.0,0.7941163813293529
red,0.5680738435272549,0.5063697396852787,0.8442247034132802,0.44926897453009274,0.7941163813293529,0.0
