Response,Attempt,emotion terms,emotion terms2,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
6.0,1.0,TIRED,SLEEPY,response_keyboard,,6929.759999999078,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
2.0,1.0,SLEEPY,SURPRISED,response_keyboard,,1932.239999994636,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
2.0,1.0,FRUSTRATED,CALM,response_keyboard,,629.0499999886379,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,TIRED,BORED,response_keyboard_single,,333.7549999996554,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
2.0,1.0,SAD,FRUSTRATED,response_keyboard,,2400.519999995595,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
2.0,1.0,ASTONISHED,DISGUSTED,response_keyboard,,621.4000000036322,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,EXCITED,FRUSTRATED,response_keyboard,,2256.7399999825284,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,BORED,SURPRISED,response_keyboard,,1492.1850000100676,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,HAPPY,ALARMED,response_keyboard,,296.0200000088662,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,DISGUSTED,CALM,response_keyboard,,428.93500000354834,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,SURPRISED,ANGRY,response_keyboard,,1811.6199999931268,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
6.0,1.0,SERENE,SURPRISED,response_keyboard,,2932.61999997776,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,CALM,BORED,response_keyboard,,704.7599999932572,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,BORED,DEPRESSED,response_keyboard_single,,1511.9849999900907,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,EXCITED,CALM,response_keyboard,,3858.6899999936577,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,SAD,DISGUSTED,response_keyboard,,2054.4149999914225,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,HAPPY,SURPRISED,response_keyboard_single,,1250.3799999831244,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,ANGRY,DISGUSTED,response_keyboard,,1529.3600000150036,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,DEPRESSED,TIRED,response_keyboard_single,,1349.4800000044052,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,SLEEPY,BORED,response_keyboard_single,,553.0449999787379,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,AFRAID,SAD,response_keyboard,,690.7950000022538,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,HAPPY,AFRAID,response_keyboard,,197.7750000078231,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,SATISFIED,DEPRESSED,response_keyboard,,1342.6949999993667,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,SURPRISED,ALARMED,response_keyboard,,2203.2800000160933,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,ASTONISHED,BORED,response_keyboard,,993.2650000264402,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,EXCITED,ALARMED,response_keyboard,,373.2249999884516,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,SERENE,SAD,response_keyboard,,385.2400000032503,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,HAPPY,BORED,response_keyboard,,354.34999997960404,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,EXCITED,ASTONISHED,response_keyboard_single,,443.859999999404,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,ANGRY,SAD,response_keyboard_single,,158.97499999846332,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,EXCITED,SATISFIED,response_keyboard_single,,158.37499999906868,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,ANGRY,HAPPY,response_keyboard,,777.0149999996647,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,SERENE,CALM,response_keyboard_single,,386.1650000035297,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,SATISFIED,CALM,response_keyboard_single,,526.9200000038836,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,CALM,SLEEPY,response_keyboard,,188.82499999017452,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,CALM,ANGRY,response_keyboard,,319.8299999930896,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,FRUSTRATED,SURPRISED,response_keyboard,,443.8800000061746,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,SAD,ALARMED,response_keyboard_single,,1439.0000000130383,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,SERENE,SATISFIED,response_keyboard_single,,912.595000001602,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
1.0,1.0,SERENE,DEPRESSED,response_keyboard,,2948.340000002645,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
7.0,1.0,SATISFIED,HAPPY,response_keyboard_single,,279.8649999895133,2_2_ Emotion Testing Phase_ITALIAN,3351561.0
