Response,color terms,color terms2,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
5.0,YELLOW,ORANGE,response_keyboard,,1351.8399999593385,1_2_ Color Testing Phase_ITALIAN,3105330.0
4.0,GREEN,ORANGE,response_keyboard,,1899.044999969192,1_2_ Color Testing Phase_ITALIAN,3105330.0
4.0,ORANGE,GREEN,response_keyboard,,1790.9099999815226,1_2_ Color Testing Phase_ITALIAN,3105330.0
3.0,YELLOW,PURPLE,response_keyboard,,1748.874999990221,1_2_ Color Testing Phase_ITALIAN,3105330.0
2.0,BLUE,GREEN,response_keyboard,,1436.2049999763258,1_2_ Color Testing Phase_ITALIAN,3105330.0
1.0,BLUE,RED,response_keyboard,,624.599999981001,1_2_ Color Testing Phase_ITALIAN,3105330.0
1.0,PURPLE,RED,response_keyboard,,271.29500004230067,1_2_ Color Testing Phase_ITALIAN,3105330.0
1.0,BLUE,YELLOW,response_keyboard,,286.7950000218116,1_2_ Color Testing Phase_ITALIAN,3105330.0
2.0,GREEN,BLUE,response_keyboard,,447.61500001186505,1_2_ Color Testing Phase_ITALIAN,3105330.0
3.0,RED,ORANGE,response_keyboard,,3154.0549999917857,1_2_ Color Testing Phase_ITALIAN,3105330.0
2.0,YELLOW,BLUE,response_keyboard,,1578.5750000504777,1_2_ Color Testing Phase_ITALIAN,3105330.0
4.0,GREEN,YELLOW,response_keyboard,,3223.459999950137,1_2_ Color Testing Phase_ITALIAN,3105330.0
3.0,PURPLE,YELLOW,response_keyboard,,3.3049999619834125,1_2_ Color Testing Phase_ITALIAN,3105330.0
3.0,ORANGE,YELLOW,response_keyboard,,1236.884999962058,1_2_ Color Testing Phase_ITALIAN,3105330.0
4.0,RED,YELLOW,response_keyboard,,882.4649999733083,1_2_ Color Testing Phase_ITALIAN,3105330.0
2.0,RED,GREEN,response_keyboard,,1017.6050000009128,1_2_ Color Testing Phase_ITALIAN,3105330.0
3.0,YELLOW,GREEN,response_keyboard,,1324.7599999886006,1_2_ Color Testing Phase_ITALIAN,3105330.0
1.0,RED,PURPLE,response_keyboard,,290.610000025481,1_2_ Color Testing Phase_ITALIAN,3105330.0
1.0,ORANGE,BLUE,response_keyboard,,295.64999998547137,1_2_ Color Testing Phase_ITALIAN,3105330.0
1.0,PURPLE,ORANGE,response_keyboard,,499.0050000487827,1_2_ Color Testing Phase_ITALIAN,3105330.0
3.0,BLUE,PURPLE,response_keyboard,,1394.3250000011176,1_2_ Color Testing Phase_ITALIAN,3105330.0
2.0,GREEN,RED,response_keyboard,,1884.6599999815223,1_2_ Color Testing Phase_ITALIAN,3105330.0
2.0,ORANGE,RED,response_keyboard,,2342.8249999997206,1_2_ Color Testing Phase_ITALIAN,3105330.0
